service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
542,0,1,0,0,0,0,0,20200505,20200505
563,0,1,0,0,0,0,0,20200505,20200505
573,0,1,0,0,0,0,0,20200505,20200505
1000,0,1,0,0,0,0,0,20200505,20200505
1042,0,1,0,0,0,0,0,20200505,20200505
1571,0,1,0,0,0,0,0,20200505,20200505
1595,0,1,0,0,0,0,0,20200505,20200505
1613,0,1,0,0,0,0,0,20200505,20200505
1853,0,1,0,0,0,0,0,20200505,20200505
1891,0,1,0,0,0,0,0,20200505,20200505
2034,0,1,0,0,0,0,0,20200505,20200505
2064,0,1,0,0,0,0,0,20200505,20200505
2066,0,1,0,0,0,0,0,20200505,20200505
2277,0,1,0,0,0,0,0,20200505,20200505
2318,0,1,0,0,0,0,0,20200505,20200505
2470,0,1,0,0,0,0,0,20200505,20200505
2483,0,1,0,0,0,0,0,20200505,20200505
2561,0,1,0,0,0,0,0,20200505,20200505
2563,0,1,0,0,0,0,0,20200505,20200505
2568,0,1,0,0,0,0,0,20200505,20200505
2743,0,1,0,0,0,0,0,20200505,20200505
2768,0,1,0,0,0,0,0,20200505,20200505
2779,0,1,0,0,0,0,0,20200505,20200505
2851,0,1,0,0,0,0,0,20200505,20200505
2855,0,1,0,0,0,0,0,20200505,20200505
6142,0,1,0,0,0,0,0,20200505,20200505
6414,0,1,0,0,0,0,0,20200505,20200505
6895,0,1,0,0,0,0,0,20200505,20200505
6910,0,1,0,0,0,0,0,20200505,20200505
6944,0,1,0,0,0,0,0,20200505,20200505
7079,0,1,0,0,0,0,0,20200505,20200505
7321,0,1,0,0,0,0,0,20200505,20200505
7322,0,1,0,0,0,0,0,20200505,20200505
7351,0,1,0,0,0,0,0,20200505,20200505
7352,0,1,0,0,0,0,0,20200505,20200505
7475,0,1,0,0,0,0,0,20200505,20200505
7506,0,1,0,0,0,0,0,20200505,20200505
7509,0,1,0,0,0,0,0,20200505,20200505
7510,0,1,0,0,0,0,0,20200505,20200505
7512,0,1,0,0,0,0,0,20200505,20200505
7515,0,1,0,0,0,0,0,20200505,20200505
7574,0,1,0,0,0,0,0,20200505,20200505
7583,0,1,0,0,0,0,0,20200505,20200505
7624,0,1,0,0,0,0,0,20200505,20200505
7627,0,1,0,0,0,0,0,20200505,20200505
7960,0,1,0,0,0,0,0,20200505,20200505
7962,0,1,0,0,0,0,0,20200505,20200505
7977,0,1,0,0,0,0,0,20200505,20200505
7979,0,1,0,0,0,0,0,20200505,20200505
7982,0,1,0,0,0,0,0,20200505,20200505
7984,0,1,0,0,0,0,0,20200505,20200505
8007,0,1,0,0,0,0,0,20200505,20200505
8043,0,1,0,0,0,0,0,20200505,20200505
8055,0,1,0,0,0,0,0,20200505,20200505
8058,0,1,0,0,0,0,0,20200505,20200505
8060,0,1,0,0,0,0,0,20200505,20200505
8061,0,1,0,0,0,0,0,20200505,20200505
8062,0,1,0,0,0,0,0,20200505,20200505
8066,0,1,0,0,0,0,0,20200505,20200505
8069,0,1,0,0,0,0,0,20200505,20200505
8074,0,1,0,0,0,0,0,20200505,20200505
8076,0,1,0,0,0,0,0,20200505,20200505
8080,0,1,0,0,0,0,0,20200505,20200505
8082,0,1,0,0,0,0,0,20200505,20200505
8083,0,1,0,0,0,0,0,20200505,20200505
8084,0,1,0,0,0,0,0,20200505,20200505
8090,0,1,0,0,0,0,0,20200505,20200505
8096,0,1,0,0,0,0,0,20200505,20200505
9551,0,1,0,0,0,0,0,20200505,20200505
9552,0,1,0,0,0,0,0,20200505,20200505
9553,0,1,0,0,0,0,0,20200505,20200505
9819,0,1,0,0,0,0,0,20200505,20200505
9874,0,1,0,0,0,0,0,20200505,20200505
9875,0,1,0,0,0,0,0,20200505,20200505
9893,0,1,0,0,0,0,0,20200505,20200505
9898,0,1,0,0,0,0,0,20200505,20200505
9903,0,1,0,0,0,0,0,20200505,20200505
9910,0,1,0,0,0,0,0,20200505,20200505
9914,0,1,0,0,0,0,0,20200505,20200505
9915,0,1,0,0,0,0,0,20200505,20200505
9922,0,1,0,0,0,0,0,20200505,20200505
10265,0,1,0,0,0,0,0,20200505,20200505
10282,0,1,0,0,0,0,0,20200505,20200505
10341,0,1,0,0,0,0,0,20200505,20200505
10369,0,1,0,0,0,0,0,20200505,20200505
10377,0,1,0,0,0,0,0,20200505,20200505
10427,0,1,0,0,0,0,0,20200505,20200505
10492,0,1,0,0,0,0,0,20200505,20200505
10500,0,1,0,0,0,0,0,20200505,20200505
2850,0,1,0,0,0,0,0,20200505,20200505
4074,0,1,0,0,0,0,0,20200505,20200505
