object_id,object_system,object_code
stop_point:59342,source,stop_point:59342
stop_point:59343,source,stop_point:59343
stop_point:59344,source,stop_point:59344
stop_point:59345,source,stop_point:59345
stop_point:59551,source,stop_point:59551
stop_point:59337,source,stop_point:59337
stop_point:59636,source,stop_point:59636
stop_point:59635,source,stop_point:59635
stop_point:59309,source,stop_point:59309
stop_point:59270,source,stop_point:59270
stop_point:59217,source,stop_point:59217
stop_point:59340,source,stop_point:59340
stop_point:59634,source,stop_point:59634
stop_point:59338,source,stop_point:59338
stop_point:59336,source,stop_point:59336
stop_point:59637,source,stop_point:59637
stop_point:59242,source,stop_point:59242
stop_point:59633,source,stop_point:59633
stop_point:59200,source,stop_point:59200
stop_point:59335,source,stop_point:59335
stop_point:59339,source,stop_point:59339
stop_point:59310,source,stop_point:59310
stop_point:59258,source,stop_point:59258
stop_point:59622,source,stop_point:59622
stop_point:59252,source,stop_point:59252
stop_point:59629,source,stop_point:59629
stop_point:59632,source,stop_point:59632
stop_point:59262,source,stop_point:59262
stop_point:59216,source,stop_point:59216
stop_point:59630,source,stop_point:59630
stop_point:59253,source,stop_point:59253
stop_point:59625,source,stop_point:59625
stop_point:59261,source,stop_point:59261
stop_point:59208,source,stop_point:59208
stop_point:59627,source,stop_point:59627
stop_point:59628,source,stop_point:59628
stop_point:59255,source,stop_point:59255
stop_point:59626,source,stop_point:59626
stop_point:59623,source,stop_point:59623
stop_point:59257,source,stop_point:59257
stop_point:59256,source,stop_point:59256
stop_point:59259,source,stop_point:59259
stop_point:59254,source,stop_point:59254
stop_point:59251,source,stop_point:59251
stop_point:59546,source,stop_point:59546
stop_point:59260,source,stop_point:59260
stop_point:59631,source,stop_point:59631
stop_point:59624,source,stop_point:59624
stop_point:59776,source,stop_point:59776
stop_point:59243,source,stop_point:59243
stop_point:59453,source,stop_point:59453
stop_point:59460,source,stop_point:59460
stop_point:59653,source,stop_point:59653
stop_point:59461,source,stop_point:59461
stop_point:59413,source,stop_point:59413
stop_point:59450,source,stop_point:59450
stop_point:59457,source,stop_point:59457
stop_point:59454,source,stop_point:59454
stop_point:59311,source,stop_point:59311
stop_point:59458,source,stop_point:59458
stop_point:59651,source,stop_point:59651
stop_point:59449,source,stop_point:59449
stop_point:59547,source,stop_point:59547
stop_point:59271,source,stop_point:59271
stop_point:59456,source,stop_point:59456
stop_point:59272,source,stop_point:59272
stop_point:59452,source,stop_point:59452
stop_point:59648,source,stop_point:59648
stop_point:59459,source,stop_point:59459
stop_point:59392,source,stop_point:59392
stop_point:59455,source,stop_point:59455
stop_point:59205,source,stop_point:59205
stop_point:59451,source,stop_point:59451
stop_point:59649,source,stop_point:59649
stop_point:59652,source,stop_point:59652
stop_point:59650,source,stop_point:59650
stop_point:59244,source,stop_point:59244
stop_point:59645,source,stop_point:59645
stop_point:59331,source,stop_point:59331
stop_point:59332,source,stop_point:59332
stop_point:59333,source,stop_point:59333
stop_point:59334,source,stop_point:59334
stop_point:59647,source,stop_point:59647
stop_point:59315,source,stop_point:59315
stop_point:59646,source,stop_point:59646
stop_point:59320,source,stop_point:59320
stop_point:59316,source,stop_point:59316
stop_point:59318,source,stop_point:59318
stop_point:59288,source,stop_point:59288
stop_point:59302,source,stop_point:59302
stop_point:59570,source,stop_point:59570
stop_point:59285,source,stop_point:59285
stop_point:59279,source,stop_point:59279
stop_point:59296,source,stop_point:59296
stop_point:59572,source,stop_point:59572
stop_point:59214,source,stop_point:59214
stop_point:59574,source,stop_point:59574
stop_point:59304,source,stop_point:59304
stop_point:59292,source,stop_point:59292
stop_point:59568,source,stop_point:59568
stop_point:59209,source,stop_point:59209
stop_point:59290,source,stop_point:59290
stop_point:59659,source,stop_point:59659
stop_point:59664,source,stop_point:59664
stop_point:59566,source,stop_point:59566
stop_point:59576,source,stop_point:59576
stop_point:59281,source,stop_point:59281
stop_point:59300,source,stop_point:59300
stop_point:59277,source,stop_point:59277
stop_point:59306,source,stop_point:59306
stop_point:59294,source,stop_point:59294
stop_point:59275,source,stop_point:59275
stop_point:59283,source,stop_point:59283
stop_point:59298,source,stop_point:59298
stop_point:59666,source,stop_point:59666
stop_point:59663,source,stop_point:59663
stop_point:59287,source,stop_point:59287
stop_point:59556,source,stop_point:59556
stop_point:59322,source,stop_point:59322
stop_point:59578,source,stop_point:59578
stop_point:59580,source,stop_point:59580
stop_point:59579,source,stop_point:59579
stop_point:59323,source,stop_point:59323
stop_point:59327,source,stop_point:59327
stop_point:59326,source,stop_point:59326
stop_point:59328,source,stop_point:59328
stop_point:59325,source,stop_point:59325
stop_point:59614,source,stop_point:59614
stop_point:59538,source,stop_point:59538
stop_point:59536,source,stop_point:59536
stop_point:59527,source,stop_point:59527
stop_point:59529,source,stop_point:59529
stop_point:59604,source,stop_point:59604
stop_point:59609,source,stop_point:59609
stop_point:59268,source,stop_point:59268
stop_point:59396,source,stop_point:59396
stop_point:59524,source,stop_point:59524
stop_point:59531,source,stop_point:59531
stop_point:59479,source,stop_point:59479
stop_point:59611,source,stop_point:59611
stop_point:59502,source,stop_point:59502
stop_point:59223,source,stop_point:59223
stop_point:59606,source,stop_point:59606
stop_point:59432,source,stop_point:59432
stop_point:59533,source,stop_point:59533
stop_point:59608,source,stop_point:59608
stop_point:59526,source,stop_point:59526
stop_point:59543,source,stop_point:59543
stop_point:59545,source,stop_point:59545
stop_point:59544,source,stop_point:59544
stop_point:59542,source,stop_point:59542
stop_point:59541,source,stop_point:59541
stop_point:59540,source,stop_point:59540
stop_point:59535,source,stop_point:59535
stop_point:59581,source,stop_point:59581
stop_point:59583,source,stop_point:59583
stop_point:59613,source,stop_point:59613
stop_point:59597,source,stop_point:59597
stop_point:59582,source,stop_point:59582
stop_point:59522,source,stop_point:59522
stop_point:59523,source,stop_point:59523
stop_point:59514,source,stop_point:59514
stop_point:59520,source,stop_point:59520
stop_point:59601,source,stop_point:59601
stop_point:59509,source,stop_point:59509
stop_point:59462,source,stop_point:59462
stop_point:59602,source,stop_point:59602
stop_point:59266,source,stop_point:59266
stop_point:59516,source,stop_point:59516
stop_point:59510,source,stop_point:59510
