stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
stop_point:59342,,Bobigny-Pablo-Picasso,,2.449458,48.907147,2,,0,stop_area:59342,,,0,
stop_point:59343,,Bobigny-Pantin (Raymond Queneau),,2.424857,48.895799,2,,0,stop_area:59343,,,0,
stop_point:59344,,Eglise de Pantin,,2.4129,48.893632,2,,0,stop_area:59344,,,0,
stop_point:59345,,Hoche,,2.403125,48.891499,2,,0,stop_area:59345,,,0,
stop_point:59551,,Porte de Pantin,,2.392423,48.888584,1,,0,stop_area:59551,,,0,
stop_point:59337,,Ourcq,,2.386656,48.886924,1,,0,stop_area:59337,,,0,
stop_point:59636,,Laumière,,2.379091,48.884932,1,,0,stop_area:59636,,,0,
stop_point:59635,,Jaurès,,2.370586,48.882876,1,,0,stop_area:59635,,,0,
stop_point:59309,,Stalingrad,,2.367357,48.884153,1,,0,stop_area:59279,,,0,
stop_point:59270,,Gare du Nord,,2.356372,48.879383,1,,0,stop_area:8727100,,,0,
stop_point:59217,,Gare de l'Est (Verdun),,2.358251,48.876813,1,,0,stop_area:59214,,,0,
stop_point:59340,,Jacques-Bonsergent,,2.360579,48.870701,1,,0,stop_area:59340,,,0,
stop_point:59634,,République,,2.36382,48.867617,1,,0,stop_area:59557,,,0,
stop_point:59338,,Oberkampf,,2.367537,48.864902,1,,0,stop_area:59338,,,0,
stop_point:59336,,Richard-Lenoir,,2.37192,48.860488,1,,0,stop_area:59336,,,0,
stop_point:59637,,Bréguet-Sabin,,2.370597,48.856804,1,,0,stop_area:59637,,,0,
stop_point:59242,,Bastille,,2.369165,48.853389,1,,0,stop_area:59238,,,0,
stop_point:59633,,Quai de la Rapée,,2.366913,48.845966,1,,0,stop_area:59633,,,0,
stop_point:59200,,Gare d'Austerlitz,,2.364188,48.843414,1,,0,stop_area:8754700,,,0,
stop_point:59335,,Saint-Marcel,,2.360728,48.838517,1,,0,stop_area:59335,,,0,
stop_point:59339,,Campo-Formio,,2.358752,48.835551,1,,0,stop_area:59339,,,0,
stop_point:59310,,Place d'Italie,,2.355456,48.831283,1,,0,stop_area:59275,,,0,
stop_point:59258,,Porte de Clignancourt,,2.343988,48.89797,1,,0,stop_area:59258,,,0,
stop_point:59622,,Simplon,,2.347314,48.894043,1,,0,stop_area:59622,,,0,
stop_point:59252,,Marcadet-Poissonniers,,2.349371,48.891544,1,,0,stop_area:59252,,,0,
stop_point:59629,,Château Rouge,,2.34937,48.887086,1,,0,stop_area:59629,,,0,
stop_point:59632,,Barbès-Rochechouart,,2.349356,48.883932,1,,0,stop_area:59632,,,0,
stop_point:59262,,Gare du Nord,,2.354601,48.879743,1,,0,stop_area:8727100,,,0,
stop_point:59216,,Gare de l'Est (Verdun),,2.357993,48.876696,1,,0,stop_area:59214,,,0,
stop_point:59630,,Château d'Eau,,2.356056,48.872454,1,,0,stop_area:59630,,,0,
stop_point:59253,,Strasbourg-Saint-Denis,,2.354502,48.869632,1,,0,stop_area:59253,,,0,
stop_point:59625,,Réaumur-Sébastopol,,2.352621,48.866047,1,,0,stop_area:59586,,,0,
stop_point:59261,,Etienne Marcel,,2.348983,48.86371,1,,0,stop_area:59261,,,0,
stop_point:59208,,Les Halles,,2.346476,48.862012,1,,0,stop_area:59208,,,0,
stop_point:59627,,Châtelet,,2.347865,48.8583,1,,0,stop_area:59566,,,0,
stop_point:59628,,Cité,,2.346203,48.855685,1,,0,stop_area:59628,,,0,
stop_point:59255,,Saint-Michel,,2.343996,48.8536,1,,0,stop_area:59255,,,0,
stop_point:59626,,Odéon,,2.33878,48.852198,1,,0,stop_area:59263,,,0,
stop_point:59623,,Saint-Germain des Prés,,2.333046,48.853447,1,,0,stop_area:59623,,,0,
stop_point:59257,,Saint-Sulpice,,2.330963,48.851146,1,,0,stop_area:59257,,,0,
stop_point:59256,,Saint-Placide,,2.327055,48.847012,1,,0,stop_area:59256,,,0,
stop_point:59259,,Montparnasse-Bienvenue,,2.324441,48.844189,1,,0,stop_area:59259,,,0,
stop_point:59254,,Vavin,,2.328867,48.84206,1,,0,stop_area:59254,,,0,
stop_point:59251,,Raspail,,2.330474,48.839157,1,,0,stop_area:59251,,,0,
stop_point:59546,,Denfert-Rochereau,,2.332204,48.834277,1,,0,stop_area:59546,,,0,
stop_point:59260,,Mouton-Duvernet,,2.330407,48.832192,1,,0,stop_area:59260,,,0,
stop_point:59631,,Alésia,,2.326827,48.828066,1,,0,stop_area:59631,,,0,
stop_point:59624,,Porte d'Orléans (Général Leclerc),,2.325073,48.822817,1,,0,stop_area:59624,,,0,
stop_point:59776,,Mairie de Montrouge,,2.319643,48.818466,2,,0,stop_area:59776,,,0,
stop_point:59243,,Nation,,2.397772,48.847455,1,,0,stop_area:8775810,,,0,
stop_point:59453,,Picpus,,2.401786,48.845323,1,,0,stop_area:59453,,,0,
stop_point:59460,,Bel-Air,,2.400869,48.841432,1,,0,stop_area:59460,,,0,
stop_point:59653,,Daumesnil (Félix Eboué),,2.395788,48.839376,1,,0,stop_area:59561,,,0,
stop_point:59461,,Dugommier,,2.389347,48.838876,1,,0,stop_area:59461,,,0,
stop_point:59413,,Bercy,,2.379477,48.840192,1,,0,stop_area:59410,,,0,
