stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station
10033,GACFC,Gare CFC,,+41.927047,+08.738678,1,
20050,GACFC1,Gare CFC,,+41.927047,+08.738678,0,10033
10116,VITUL,Vittulo,,+41.931207,+08.724931,1,
20202,VITUL1,Vittulo,,+41.931399,+08.724569,0,10116
10155,MILEL,Milelli,,+41.935014,+08.720029,1,
20262,MILEL1,Milelli,,+41.935014,+08.720029,0,10155
10156,STAN,Cimetière Saint Antoine,,+41.929713,+08.692956,1,
20263,STAN1,Cimetière Saint Antoine,,+41.929713,+08.692956,0,10156
10117,HCAST,Hopital Castelluccio,,+41.935799,+08.714779,1,
20203,HCAST1,Hopital Castelluccio,,+41.935799,+08.714779,0,10117
20208,VITUL2,Vittulo,,+41.931015,+08.725293,0,10116
10002,HADVA,Hauts du Vazzio,,+41.936701,+08.793732,1,
20002,HADVA1,Hauts du Vazzio,,+41.936701,+08.793732,0,10002
10003,ESPFU,Espace Funéraire,,+41.931448,+08.789961,1,
20003,ESPFU1,Espace Funéraire,,+41.931494,+08.790015,0,10003
10004,VAZZI,Vazzio,,+41.932982,+08.788128,1,
20004,VAZZI1,Vazzio,,+41.933081,+08.788140,0,10004
10005,CORCO,Corse Composite,,+41.930549,+08.787310,1,
20005,CORCO1,Corse Composite,,+41.930562,+08.787245,0,10005
10006,COTIM,Coteaux de Timizzolo,,+41.929971,+08.782241,1,
20006,COTIM1,Coteaux de Timizzolo,,+41.929915,+08.781119,0,10006
10007,SFCOT,Stade François Coty,,+41.929801,+08.775565,1,
20007,SFCOT1,Stade François Coty,,+41.929867,+08.775764,0,10007
10008,ALDSO,Alzo di Sole,,+41.930065,+08.762644,1,
20008,ALDSO1,Alzo di Sole,,+41.930104,+08.762593,0,10008
10009,STJOS,Saint Joseph,,+41.931251,+08.756836,1,
20009,STJOS1,Saint Joseph,,+41.931914,+08.756688,0,10009
10010,ZACPE,Zone d'Activité Pole Emploi,,+41.933416,+08.754436,1,
20010,ZACPE1,Zone d'Activité Pole Emploi,,+41.933701,+08.754115,0,10010
10011,LSALI,Les Salines,,+41.934757,+08.749784,1,
20011,LSALI1,Les Salines,,+41.934159,+08.750336,0,10011
10012,PRIMP,Prince Impérial,,+41.934498,+08.745839,1,
20012,PRIMP1,Prince Impérial,,+41.934226,+08.745958,0,10012
10013,LCANS,Les Cannes,,+41.933004,+08.742325,1,
20013,LCANS1,Les Cannes,,+41.932786,+08.741592,0,10013
10014,STJEA,Saint Jean,,+41.930382,+08.739496,1,
20014,STJEA1,Saint Jean,,+41.929693,+08.739091,0,10014
10015,STLUC,Sainte Lucie,,+41.927324,+08.738509,1,
20015,STLUC1,Sainte Lucie,,+41.927199,+08.738410,0,10015
10016,ABBAT,Abbatucci,,+41.925374,+08.738113,1,
20016,ABBAT1,Abbatucci,,+41.925255,+08.738025,0,10016
