route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
100110005:5,573,113425646-1_217675,Bobigny-Pablo-Picasso,Bobigny-Pablo-Picasso,1,,,0,0
800:E,8076,113596940-1_13324,HAUSSMANN ST LAZARE,HONY,0,,,1,0
100110011:11,1042,113496973-1_174535,Châtelet,Châtelet,0,,,0,0
800:D,9903,113565889-1_24005,GARE DE MELUN,ZACO,0,,,1,0
100110006:6,1042,113241417-1_211993,Charles de Gaulle-Etoile,Charles de Gaulle-Etoile,0,,,0,0
100110002:2,2277,113482519-1_194227,Porte Dauphine (Maréchal de Lattre de Tassigny),Porte Dauphine (Maréchal de Lattre de Tassigny),0,,,0,0
100110012:12,1042,113252195-1_202080,Front Populaire,Front Populaire,0,,,0,0
100110107:7B,573,113259928-1_210927,Pré-Saint-Gervais,Pré-Saint-Gervais,1,,,0,0
100110003:3,573,113753866-1_198680,Gallieni (Parc de Bagnolet),Gallieni (Parc de Bagnolet),1,,,0,0
100110014:14,1042,113501867-1_199673,Olympiades,Olympiades,0,,,1,0
100110006:6,1042,113241446-1_212022,Charles de Gaulle-Etoile,Charles de Gaulle-Etoile,0,,,0,0
100110012:12,573,113253050-1_203095,Mairie d'Issy,Mairie d'Issy,1,,,0,0
100110003:3,573,113753106-1_197479,Pont de Levallois-Bécon,Pont de Levallois-Bécon,0,,,0,0
800:E,8055,113572535-1_12047,HAUSSMANN ST LAZARE,HOCI,0,,,1,0
100110001:1,2779,113481251-1_177953,Château de Vincennes,Château de Vincennes,1,,,0,0
810:B,8055,113555675-1_18783,GARE D'ORSAY VILLE,LALA,0,,,1,0
100110010:10,2277,113495525-1_173019,Gare d'Austerlitz,Gare d'Austerlitz,0,,,0,0
810:A,8055,113556857-1_22356,GARE DE MARNE LA VALLEE CHESSY,QIWI,0,,,1,0
100110014:14,1595,113501771-1_199577,Olympiades,Olympiades,0,,,1,0
810:A,8055,113560198-1_22082,GARE DE TORCY,OKLA,0,,,1,0
100110007:7,1042,113242807-1_208320,Villejuif-Louis Aragon,Villejuif-Louis Aragon,0,,,0,0
800:C,8076,113559733-1_29569,GARE DE VERSAILLES CHATEAU - RIVE GAUCHE,VICK,0,,,1,0
100110005:5,573,113490057-1_217502,Place d'Italie,Place d'Italie,0,,,0,0
100110011:11,573,113450292-1_174112,Châtelet,Châtelet,0,,,0,0
100110107:7B,1000,113259567-1_210298,Louis Blanc,Louis Blanc,0,,,0,0
810:A,8076,113556420-1_20849,GARE DE BOISSY ST LEGER,NANI,0,,,1,0
800:E,8055,113573051-1_12960,GARE DE CHELLES GOURNAY,COHI,0,,,1,0
100110006:6,573,113160824-1_211174,Charles de Gaulle-Etoile,Charles de Gaulle-Etoile,0,,,0,0
100110011:11,2779,113497534-1_175193,Mairie des Lilas,Mairie des Lilas,1,,,0,0
100110107:7B,1042,113259817-1_210816,Pré-Saint-Gervais,Pré-Saint-Gervais,1,,,0,0
100110004:4,573,113707860-1_215176,Porte de Clignancourt,Porte de Clignancourt,1,,,0,0
100110008:8,573,113434090-1_192811,Balard,Balard,1,,,0,0
100110001:1,573,113391571-1_177195,Château de Vincennes,Château de Vincennes,1,,,0,0
810:A,8055,113564228-1_20576,GARE DE LA DEFENSE RER A,BERO,0,,,1,0
100110013:13,1042,113757416-1_204240,Asnières-Gennevilliers Les Courtilles,Asnières-Gennevilliers Les Courtilles,0,,,0,0
800:C,8076,113554552-1_31872,GARE DE VERSAILLES CHATEAU - RIVE GAUCHE,VICK,0,,,1,0
810:A,8055,113559654-1_21882,GARE DE BOISSY ST LEGER,NOTE,0,,,1,0
100110014:14,2066,113503083-1_200845,Saint-Lazare,Saint-Lazare,1,,,1,0
100110003:3,573,113753847-1_198664,Gallieni (Parc de Bagnolet),Gallieni (Parc de Bagnolet),1,,,0,0
100110012:12,573,113198792-1_201431,Front Populaire,Front Populaire,0,,,0,0
100110007:7,1042,113242880-1_208393,Villejuif-Louis Aragon,Villejuif-Louis Aragon,0,,,0,0
100110009:9,1042,113495214-1_184122,Pont de Sèvres,Pont de Sèvres,1,,,0,0
100110005:5,1042,113491035-1_218615,Bobigny-Pablo-Picasso,Bobigny-Pablo-Picasso,1,,,0,0
100110004:4,1042,113756777-1_216270,Porte de Clignancourt,Porte de Clignancourt,1,,,0,0
100110001:1,573,113480360-1_176878,La Défense (Grande Arche),La Défense (Grande Arche),0,,,0,0
100110014:14,2318,113501761-1_199567,Olympiades,Olympiades,0,,,1,0
100110004:4,573,113707898-1_215194,Porte de Clignancourt,Porte de Clignancourt,1,,,0,0
810:A,8055,113564224-1_20572,GARE DE LA DEFENSE RER A,BETY,0,,,1,0
100110004:4,1042,113755612-1_214803,Mairie de Montrouge,Mairie de Montrouge,0,,,0,0
100110012:12,573,113252257-1_202142,Front Populaire,Front Populaire,0,,,0,0
810:A:Bus,8082,113589781-1_21014,GARE DE SARTROUVILLE,,0,,,1,0
