object_type,object_id,object_system,object_code
stop_area,stop_area:8768100,source,stop_area:8768100
stop_area,stop_area:8768160,source,stop_area:8768160
stop_area,stop_area:8768161,source,stop_area:8768161
stop_area,stop_area:8768140,source,stop_area:8768140
stop_area,stop_area:8711610,source,stop_area:8711610
stop_area,stop_area:8711632,source,stop_area:8711632
stop_area,stop_area:59563,source,stop_area:59563
stop_area,stop_area:8775837,source,stop_area:8775837
stop_area,stop_area:8768211,source,stop_area:8768211
stop_area,stop_area:8754524,source,stop_area:8754524
stop_area,stop_area:59841,source,stop_area:59841
stop_area,stop_area:8754619,source,stop_area:8754619
stop_area,stop_area:59492,source,stop_area:59492
stop_area,stop_area:8739156,source,stop_area:8739156
stop_area,stop_area:8727124,source,stop_area:8727124
stop_area,stop_area:59583,source,stop_area:59583
stop_area,stop_area:8738108,source,stop_area:8738108
stop_area,stop_area:59010,source,stop_area:59010
stop_area,stop_area:8738235,source,stop_area:8738235
stop_area,stop_area:59686,source,stop_area:59686
stop_area,stop_area:8775820,source,stop_area:8775820
stop_area,stop_area:8727100,source,stop_area:8727100
stop_area,stop_area:8768600,source,stop_area:8768600
stop_area,stop_area:59471,source,stop_area:59471
stop_area,stop_area:59259,source,stop_area:59259
stop_area,stop_area:59651,source,stop_area:59651
stop_area,stop_area:59666,source,stop_area:59666
stop_area,stop_area:59595,source,stop_area:59595
stop_area,stop_area:59596,source,stop_area:59596
stop_area,stop_area:59491,source,stop_area:59491
stop_area,stop_area:59402,source,stop_area:59402
stop_area,stop_area:59572,source,stop_area:59572
stop_area,stop_area:59640,source,stop_area:59640
stop_area,stop_area:59325,source,stop_area:59325
stop_area,stop_area:59526,source,stop_area:59526
stop_area,stop_area:59349,source,stop_area:59349
stop_area,stop_area:8711340,source,stop_area:8711340
stop_area,stop_area:8727141,source,stop_area:8727141
stop_area,stop_area:8754700,source,stop_area:8754700
stop_area,stop_area:59335,source,stop_area:59335
stop_area,stop_area:8738400,source,stop_area:8738400
stop_area,stop_area:59383,source,stop_area:59383
stop_area,stop_area:59342,source,stop_area:59342
stop_area,stop_area:59320,source,stop_area:59320
stop_area,stop_area:59316,source,stop_area:59316
stop_area,stop_area:8738668,source,stop_area:8738668
stop_area,stop_area:8739342,source,stop_area:8739342
stop_area,stop_area:8738665,source,stop_area:8738665
stop_area,stop_area:8727146,source,stop_area:8727146
stop_area,stop_area:8727625,source,stop_area:8727625
stop_area,stop_area:8727626,source,stop_area:8727626
stop_area,stop_area:8727624,source,stop_area:8727624
stop_area,stop_area:8727144,source,stop_area:8727144
stop_area,stop_area:8727657,source,stop_area:8727657
stop_area,stop_area:8727151,source,stop_area:8727151
stop_area,stop_area:8727152,source,stop_area:8727152
stop_area,stop_area:8727143,source,stop_area:8727143
stop_area,stop_area:8727638,source,stop_area:8727638
stop_area,stop_area:8727619,source,stop_area:8727619
stop_area,stop_area:8727142,source,stop_area:8727142
stop_area,stop_area:8727153,source,stop_area:8727153
stop_area,stop_area:8738116,source,stop_area:8738116
stop_area,stop_area:8738115,source,stop_area:8738115
stop_area,stop_area:8738249,source,stop_area:8738249
stop_area,stop_area:8738190,source,stop_area:8738190
stop_area,stop_area:8727613,source,stop_area:8727613
stop_area,stop_area:8738150,source,stop_area:8738150
stop_area,stop_area:8738265,source,stop_area:8738265
stop_area,stop_area:8738159,source,stop_area:8738159
stop_area,stop_area:8741588,source,stop_area:8741588
stop_area,stop_area:8727653,source,stop_area:8727653
stop_area,stop_area:8727654,source,stop_area:8727654
stop_area,stop_area:8738155,source,stop_area:8738155
stop_area,stop_area:8738183,source,stop_area:8738183
stop_area,stop_area:8741589,source,stop_area:8741589
stop_area,stop_area:8738156,source,stop_area:8738156
stop_area,stop_area:8775809,source,stop_area:8775809
stop_area,stop_area:8738676,source,stop_area:8738676
stop_area,stop_area:8738673,source,stop_area:8738673
stop_area,stop_area:8700147,source,stop_area:8700147
stop_area,stop_area:59679,source,stop_area:59679
stop_area,stop_area:59683,source,stop_area:59683
stop_area,stop_area:8727145,source,stop_area:8727145
stop_area,stop_area:8711611,source,stop_area:8711611
stop_area,stop_area:8711347,source,stop_area:8711347
stop_area,stop_area:8711351,source,stop_area:8711351
stop_area,stop_area:8711352,source,stop_area:8711352
stop_area,stop_area:8727147,source,stop_area:8727147
stop_area,stop_area:8738221,source,stop_area:8738221
stop_area,stop_area:8738162,source,stop_area:8738162
stop_area,stop_area:8738657,source,stop_area:8738657
stop_area,stop_area:8768136,source,stop_area:8768136
stop_area,stop_area:8768138,source,stop_area:8768138
stop_area,stop_area:8727659,source,stop_area:8727659
stop_area,stop_area:8727648,source,stop_area:8727648
stop_area,stop_area:8727605,source,stop_area:8727605
stop_area,stop_area:8727643,source,stop_area:8727643
stop_area,stop_area:8711613,source,stop_area:8711613
stop_area,stop_area:8768230,source,stop_area:8768230
stop_area,stop_area:8775875,source,stop_area:8775875
stop_area,stop_area:8775877,source,stop_area:8775877
stop_area,stop_area:8775872,source,stop_area:8775872
stop_area,stop_area:8775874,source,stop_area:8775874
stop_area,stop_area:8775869,source,stop_area:8775869
stop_area,stop_area:8711609,source,stop_area:8711609
stop_area,stop_area:8775499,source,stop_area:8775499
stop_area,stop_area:8711616,source,stop_area:8711616
stop_area,stop_area:8768200,source,stop_area:8768200
