stop_id,stop_name,stop_code,visible,fare_zone_id,stop_lon,stop_lat,location_type,parent_station,stop_timezone,geometry_id,equipment_id,level_id,platform_code
stop_point:59342,Bobigny-Pablo-Picasso,,1,2,2.449458,48.907147,0,stop_area:59342,,,,,
stop_point:59343,Bobigny-Pantin (Raymond Queneau),,1,2,2.424857,48.895799,0,stop_area:59343,,,,,
stop_point:59344,Eglise de Pantin,,1,2,2.4129,48.893632,0,stop_area:59344,,,,,
stop_point:59345,Hoche,,1,2,2.403125,48.891499,0,stop_area:59345,,,,,
stop_point:59551,Porte de Pantin,,1,1,2.392423,48.888584,0,stop_area:59551,,,,,
stop_point:59337,Ourcq,,1,1,2.386656,48.886924,0,stop_area:59337,,,,,
stop_point:59636,Laumière,,1,1,2.379091,48.884932,0,stop_area:59636,,,,,
stop_point:59635,Jaurès,,1,1,2.370586,48.882876,0,stop_area:59635,,,,,
stop_point:59309,Stalingrad,,1,1,2.367357,48.884153,0,stop_area:59279,,,,,
stop_point:59270,Gare du Nord,,1,1,2.356372,48.879383,0,stop_area:8727100,,,,,
stop_point:59217,Gare de l'Est (Verdun),,1,1,2.358251,48.876813,0,stop_area:59214,,,,,
stop_point:59340,Jacques-Bonsergent,,1,1,2.360579,48.870701,0,stop_area:59340,,,,,
stop_point:59634,République,,1,1,2.36382,48.867617,0,stop_area:59557,,,,,
stop_point:59338,Oberkampf,,1,1,2.367537,48.864902,0,stop_area:59338,,,,,
stop_point:59336,Richard-Lenoir,,1,1,2.37192,48.860488,0,stop_area:59336,,,,,
stop_point:59637,Bréguet-Sabin,,1,1,2.370597,48.856804,0,stop_area:59637,,,,,
stop_point:59242,Bastille,,1,1,2.369165,48.853389,0,stop_area:59238,,,,,
stop_point:59633,Quai de la Rapée,,1,1,2.366913,48.845966,0,stop_area:59633,,,,,
stop_point:59200,Gare d'Austerlitz,,1,1,2.364188,48.843414,0,stop_area:8754700,,,,,
stop_point:59335,Saint-Marcel,,1,1,2.360728,48.838517,0,stop_area:59335,,,,,
stop_point:59339,Campo-Formio,,1,1,2.358752,48.835551,0,stop_area:59339,,,,,
stop_point:59310,Place d'Italie,,1,1,2.355456,48.831283,0,stop_area:59275,,,,,
stop_point:59258,Porte de Clignancourt,,1,1,2.343988,48.89797,0,stop_area:59258,,,,,
stop_point:59622,Simplon,,1,1,2.347314,48.894043,0,stop_area:59622,,,,,
stop_point:59252,Marcadet-Poissonniers,,1,1,2.349371,48.891544,0,stop_area:59252,,,,,
stop_point:59629,Château Rouge,,1,1,2.34937,48.887086,0,stop_area:59629,,,,,
stop_point:59632,Barbès-Rochechouart,,1,1,2.349356,48.883932,0,stop_area:59632,,,,,
stop_point:59262,Gare du Nord,,1,1,2.354601,48.879743,0,stop_area:8727100,,,,,
stop_point:59216,Gare de l'Est (Verdun),,1,1,2.357993,48.876696,0,stop_area:59214,,,,,
stop_point:59630,Château d'Eau,,1,1,2.356056,48.872454,0,stop_area:59630,,,,,
stop_point:59253,Strasbourg-Saint-Denis,,1,1,2.354502,48.869632,0,stop_area:59253,,,,,
stop_point:59625,Réaumur-Sébastopol,,1,1,2.352621,48.866047,0,stop_area:59586,,,,,
stop_point:59261,Etienne Marcel,,1,1,2.348983,48.86371,0,stop_area:59261,,,,,
stop_point:59208,Les Halles,,1,1,2.346476,48.862012,0,stop_area:59208,,,,,
stop_point:59627,Châtelet,,1,1,2.347865,48.8583,0,stop_area:59566,,,,,
stop_point:59628,Cité,,1,1,2.346203,48.855685,0,stop_area:59628,,,,,
stop_point:59255,Saint-Michel,,1,1,2.343996,48.8536,0,stop_area:59255,,,,,
stop_point:59626,Odéon,,1,1,2.33878,48.852198,0,stop_area:59263,,,,,
