from_stop_id,to_stop_id,min_transfer_time,real_min_transfer_time,equipment_id
stop_point:59200,stop_point:59200,0,60,
stop_point:59200,stop_point:59201,50,110,
stop_point:59200,stop_point:8754700:800:C,93,153,
stop_point:59200,stop_point:8754702:800:C,93,153,
stop_point:59201,stop_point:59200,50,110,
stop_point:59201,stop_point:59201,0,60,
stop_point:59201,stop_point:8754700:800:C,107,167,
stop_point:59201,stop_point:8754702:800:C,107,167,
stop_point:59204,stop_point:59204,0,60,
stop_point:59205,stop_point:59205,0,60,
stop_point:59205,stop_point:8739305:800:C,238,298,
stop_point:59207,stop_point:59207,0,60,
stop_point:59207,stop_point:8754318:800:C,242,302,
stop_point:59208,stop_point:59208,0,60,
stop_point:59208,stop_point:59261,335,395,
stop_point:59208,stop_point:8775860:800:D,55,115,
stop_point:59208,stop_point:8775860:810:A,55,115,
stop_point:59208,stop_point:8775860:810:B,55,115,
stop_point:59209,stop_point:59209,0,60,
stop_point:59209,stop_point:59211,36,96,
stop_point:59209,stop_point:59212,76,136,
stop_point:59209,stop_point:59437,373,433,
stop_point:59209,stop_point:59568,353,413,
stop_point:59209,stop_point:59620,329,389,
stop_point:59209,stop_point:8775859:810:A,265,325,
stop_point:59211,stop_point:59209,36,96,
stop_point:59211,stop_point:59211,0,60,
stop_point:59211,stop_point:59212,49,109,
stop_point:59211,stop_point:59568,338,398,
stop_point:59211,stop_point:59620,311,371,
stop_point:59211,stop_point:8775859:810:A,229,289,
stop_point:59212,stop_point:59209,76,136,
stop_point:59212,stop_point:59211,49,109,
stop_point:59212,stop_point:59212,0,60,
stop_point:59212,stop_point:59568,368,428,
stop_point:59212,stop_point:59620,338,398,
stop_point:59212,stop_point:8775859:810:A,206,266,
stop_point:59213,stop_point:59213,0,60,
stop_point:59213,stop_point:8738103:800:C,134,194,
stop_point:59214,stop_point:59214,0,60,
stop_point:59214,stop_point:59216,100,160,
stop_point:59214,stop_point:59217,88,148,
stop_point:59214,stop_point:8711300:800:E,73,133,
stop_point:59214,stop_point:8759118:810:B,98,158,
stop_point:59216,stop_point:59214,100,160,
stop_point:59216,stop_point:59216,0,60,
stop_point:59216,stop_point:59217,29,89,
stop_point:59216,stop_point:8711300:800:E,40,100,
stop_point:59216,stop_point:8759118:810:B,82,142,
stop_point:59217,stop_point:59214,88,148,
stop_point:59217,stop_point:59216,29,89,
stop_point:59217,stop_point:59217,0,60,
stop_point:59217,stop_point:8711300:800:E,16,76,
stop_point:59217,stop_point:8759118:810:B,101,161,
stop_point:59218,stop_point:59218,0,60,
stop_point:59219,stop_point:59219,0,60,
stop_point:59219,stop_point:8738101:800:C,117,177,
stop_point:59220,stop_point:59220,0,60,
stop_point:59220,stop_point:59221,42,102,
stop_point:59220,stop_point:59222,140,200,
stop_point:59220,stop_point:59223,120,180,
stop_point:59221,stop_point:59220,42,102,
stop_point:59221,stop_point:59221,0,60,
stop_point:59221,stop_point:59222,109,169,
stop_point:59221,stop_point:59223,141,201,
stop_point:59222,stop_point:59220,140,200,
stop_point:59222,stop_point:59221,109,169,
stop_point:59222,stop_point:59222,0,60,
stop_point:59222,stop_point:59223,250,310,
stop_point:59222,stop_point:59442,323,383,
