trip_id,route_id,physical_mode_id,dataset_id,service_id,trip_headsign,trip_short_name,block_id,company_id,trip_property_id,geometry_id,journey_pattern_id
113492527-1_193267,100110008:8_R,Metro,default_dataset,1000,Balard,,,439,,,
113489971-1_217416,100110005:5,Metro,default_dataset,1000,Place d'Italie,,,439,,,
113707875-1_213582,100110004:4,Metro,default_dataset,1000,Mairie de Montrouge,,,439,,,
113441495-1_181947,100110009:9,Metro,default_dataset,1000,Mairie de Montreuil,,,439,,,
113757550-1_204374,100110013:13,Metro,default_dataset,1000,Asnières-Gennevilliers Les Courtilles,,,439,,,
113481915-1_178263,100110001:1_R,Metro,default_dataset,1000,Château de Vincennes,,,439,,,
113241495-1_212071,100110006:6,Metro,default_dataset,1000,Charles de Gaulle-Etoile,,,439,,,
113441633-1_182009,100110009:9,Metro,default_dataset,1000,Mairie de Montreuil,,,439,,,
113759648-1_206244,100110013:13_R,Metro,default_dataset,1000,Châtillon Montrouge,,,439,,,
113707799-1_213547,100110004:4,Metro,default_dataset,1000,Mairie de Montrouge,,,439,,,
113555386-1_30259,800:C,Train,default_dataset,1000,GOTA,,,741,1,,
113392123-1_177318,100110001:1_R,Metro,default_dataset,1000,Château de Vincennes,,,439,,,
113240973-1_211740,100110006:6,Metro,default_dataset,1000,Charles de Gaulle-Etoile,,,439,,,
113708158-1_215304,100110004:4_R,Metro,default_dataset,1000,Porte de Clignancourt,,,439,,,
113252267-1_202152,100110012:12,Metro,default_dataset,1000,Front Populaire,,,439,,,
113497981-1_175441,100110011:11_R,Metro,default_dataset,1000,Mairie des Lilas,,,439,,,
113555940-1_17185,810:B,Train,default_dataset,1000,KUBY,,,741,1,,
113492146-1_192370,100110008:8,Metro,default_dataset,1000,Pointe du Lac,,,439,,,
113554842-1_19288,810:B,Train,default_dataset,1000,EPAF,,,741,1,,
113482378-1_178402,100110001:1_R,Metro,default_dataset,1000,Château de Vincennes,,,439,,,
113493553-1_182611,100110009:9,Metro,default_dataset,1000,Mairie de Montreuil,,,439,,,
113441395-1_181901,100110009:9,Metro,default_dataset,1000,Mairie de Montreuil,,,439,,,
113433989-1_191634,100110008:8,Metro,default_dataset,1000,Pointe du Lac,,,439,,,
113392178-1_175972,100110001:1,Metro,default_dataset,1000,La Défense (Grande Arche),,,439,,,
113490993-1_218573,100110005:5_R,Metro,default_dataset,1000,Bobigny-Pablo-Picasso,,,439,,,
113474399-1_207126,100110103:3B_R,Metro,default_dataset,1000,Porte des Lilas,,,439,,,
