service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
9494,0,0,0,0,0,1,1,20210605,20210606
9495,0,1,1,0,0,0,0,20210601,20210609
9496,1,1,1,1,0,0,0,20210607,20210610
9497,0,1,1,1,1,0,0,20210601,20210611
9498,1,1,1,1,1,0,0,20210607,20210611
9500,0,0,0,0,0,1,0,20210605,20210612
9501,0,1,1,1,1,1,0,20210608,20210612
9502,0,1,1,1,1,1,0,20210601,20210612
9510,1,1,1,0,0,0,0,20210614,20210616
9514,0,0,0,0,0,1,0,20210612,20210619
9516,0,0,0,0,0,0,1,20210613,20210620
9518,0,0,0,0,0,1,1,20210612,20210620
9520,1,1,1,1,1,0,0,20210607,20210613
9521,1,0,0,0,0,0,0,20210614,20210621
9522,1,1,1,1,1,0,0,20210614,20210621
9526,1,0,0,0,0,0,0,20210614,20210622
9529,1,1,1,1,0,0,0,20210614,20210624
9533,0,1,1,1,1,0,0,20210615,20210625
9534,1,1,1,1,1,0,0,20210614,20210625
9535,1,1,1,1,1,0,0,20210621,20210625
9537,1,1,1,1,1,0,0,20210614,20210625
9541,0,0,0,0,0,1,0,20210619,20210626
9544,0,0,0,0,0,1,1,20210619,20210626
9545,0,0,0,0,1,1,0,20210625,20210626
9548,0,0,0,0,0,1,1,20210501,20210502
9550,0,1,1,0,0,0,0,20210504,20210505
9551,0,1,1,1,1,0,0,20210504,20210507
9555,0,0,0,0,0,1,1,20210508,20210509
9556,0,0,0,0,0,1,1,20210501,20210509
9565,0,1,1,1,0,0,0,20210511,20210513
9566,1,1,1,1,0,0,0,20210510,20210513
9568,1,1,1,0,1,0,0,20210510,20210514
9569,1,1,1,1,1,0,0,20210503,20210514
9570,1,1,1,1,1,0,0,20210503,20210516
9571,1,1,1,1,1,0,0,20210503,20210516
9577,0,1,1,1,1,1,0,20210504,20210515
9582,0,0,0,0,0,0,1,20210531,20210620
9583,0,0,0,0,0,1,1,20210515,20210516
9585,0,0,0,0,0,1,1,20210508,20210516
9586,0,1,1,0,0,0,0,20210518,20210519
9596,0,0,0,0,0,1,1,20210522,20210523
9597,0,0,0,0,0,1,1,20210531,20210606
9601,0,0,0,0,0,1,1,20210522,20210523
9602,0,0,0,0,0,1,1,20210522,20210606
9603,0,0,0,0,0,1,1,20210513,20210523
9604,0,0,0,0,0,1,1,20210513,20210523
9608,0,1,1,0,1,0,0,20210525,20210528
9609,0,1,0,1,1,0,0,20210525,20210625
9610,0,0,1,1,1,0,0,20210526,20210528
9612,1,1,1,1,1,0,0,20210503,20210528
9613,1,1,1,1,1,0,0,20210503,20210528
9614,1,1,1,1,1,0,0,20210503,20210528
9620,0,0,0,0,0,1,0,20210522,20210605
9624,0,0,0,0,0,1,0,20210508,20210612
9625,0,0,0,0,0,1,0,20210501,20210606
9627,1,0,0,0,0,1,0,20210522,20210605
9628,0,0,0,0,0,1,0,20210515,20210626
9629,0,0,0,0,0,1,0,20210501,20210626
9630,0,0,1,1,0,1,0,20210526,20210529
9631,0,1,1,1,1,1,0,20210504,20210529
9636,0,0,0,0,0,0,1,20210523,20210530
9637,0,0,0,0,0,0,1,20210523,20210606
9638,0,0,0,0,0,0,1,20210502,20210620
9641,1,0,0,0,0,0,1,20210523,20210606
9646,0,0,0,0,0,1,1,20210529,20210530
9647,0,0,0,0,0,0,1,20210529,20210606
9648,0,0,0,0,0,1,1,20210529,20210606
9651,0,0,0,0,0,1,1,20210501,20210509
9652,0,0,0,0,0,1,1,20210508,20210613
9653,0,0,0,0,0,1,1,20210501,20210620
9655,1,0,0,0,0,1,1,20210524,20210606
9656,1,0,0,0,0,1,1,20210522,20210606
9657,1,0,0,0,0,1,1,20210522,20210530
9658,1,0,0,0,0,1,1,20210522,20210606
9659,0,0,0,0,0,1,1,20210508,20210613
9660,0,0,0,0,0,1,1,20210501,20210626
9661,0,0,0,0,0,1,1,20210508,20210613
9663,1,1,1,1,1,0,0,20210531,20210611
9664,1,1,1,1,1,0,0,20210614,20210625
9665,1,1,1,1,1,0,0,20210531,20210625
9666,1,1,1,1,1,0,0,20210531,20210625
9669,1,1,1,1,1,0,0,20210531,20210613
9670,1,0,0,0,0,0,0,20210525,20210607
9671,1,0,1,0,0,0,0,20210526,20210623
9675,1,1,1,1,1,0,0,20210525,20210610
9676,1,1,1,1,1,0,0,20210525,20210611
9677,1,1,1,1,1,0,0,20210525,20210625
9678,1,1,1,1,1,0,0,20210517,20210604
9679,1,1,1,1,1,0,0,20210503,20210618
9680,1,1,1,1,1,0,0,20210503,20210625
9681,1,1,1,1,1,0,0,20210524,20210625
9684,1,0,0,0,0,0,1,20210530,20210607
9685,1,0,0,0,0,0,1,20210502,20210516
9686,1,1,0,0,0,0,1,20210523,20210607
9698,0,0,0,0,0,1,1,20210403,20210404
9705,0,0,0,0,0,1,1,20210426,20210626
9707,0,0,0,0,0,1,1,20210403,20210404
9710,1,1,0,0,0,0,0,20210405,20210406
9712,0,1,1,0,0,0,0,20210406,20210407
9716,0,1,1,1,0,0,0,20210406,20210408
9719,0,0,0,0,1,0,0,20210402,20210409
9720,0,0,1,1,1,0,0,20210407,20210409
9721,0,1,1,1,1,0,0,20210406,20210409
9723,1,1,1,1,1,0,0,20210405,20210409
