stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8727605,"Gare d'Ermont - Eaubonne",,48.980146,2.271422,,,1,
StopArea:DUA8727658,"ERMONT HALTE",,48.990314,2.26327,,,1,
StopArea:DUA8727659,"Gare de Gros Noyer Saint-Prix",,48.996532,2.25941,,,1,
StopArea:DUA8727660,"Gare de Saint-Leu-la-Forêt",,49.015699,2.242256,,,1,
StopArea:DUA8727662,"VAUCELLES",,49.021767,2.229353,,,1,
StopArea:DUA8727663,"TAVERNY",,49.025558,2.22147,,,1,
StopArea:DUA8727664,"BESSANCOURT",,49.036066,2.211357,,,1,
StopArea:DUA8727665,"FREPILLON",,49.047039,2.200214,,,1,
StopArea:DUA8727666,"Gare de Méry-sur-Oise",,49.05814,2.189714,,,1,
StopArea:DUA8727667,"Gare de Mériel",,49.077455,2.205026,,,1,
StopArea:DUA8727653,"VALMONDOIS",,49.09183,2.202376,,,1,
StopArea:DUA8727652,"Gare de L'Isle-Adam - Parmain",,49.114547,2.209617,,,1,
StopArea:DUA8727651,"Gare de Champagne-sur-Oise",,49.135933,2.242114,,,1,
StopArea:DUA8727646,"Gare de Persan - Beaumont",,49.147928,2.279348,,,1,
StopArea:DUA8727606,"CERNAY",,48.985124,2.257024,,,1,
StopArea:DUA8727607,"Gare de Franconville - Le-Plessis-Bouchard",,48.99355,2.234682,,,1,
StopArea:DUA8727608,"Gare de Montigny - Beauchamp",,49.007656,2.197875,,,1,
StopArea:DUA8727609,"PIERRELAYE",,49.019427,2.153009,,,1,
StopArea:DUA8733798,"Gare de Saint-Ouen-l'Aumône Liesse",,49.03365,2.127962,,,1,
StopArea:DUA8727610,"Gare de Saint-Ouen-l'Aumône",,49.045543,2.106961,,,1,
StopArea:DUA8727613,"PONTOISE",,49.046888,2.095114,,,1,
StopArea:DUA8727103,"GARE DE PARIS NORD",,48.880542,2.357167,,,1,
StopArea:DUA8727101,"Gare de Saint-Denis",,48.935247,2.346205,,,1,
StopArea:DUA8727112,"Gare d'Épinay - Villetaneuse",,48.958517,2.327906,,,1,
StopArea:DUA8727117,"LA BARRE ORMESSON",,48.966984,2.317278,,,1,
StopArea:DUA8727602,"Gare d'Enghien-les-Bains",,48.972937,2.306855,,,1,
StopArea:DUA8727603,"Gare de Champ de Courses d'Enghien",,48.980433,2.292223,,,1,
StopArea:DUA8727634,"DEUIL MONTMAGNY",,48.975482,2.33804,,,1,
StopArea:DUA8727636,"GROSLAY",,48.984976,2.353705,,,1,
StopArea:DUA8727638,"Gare de Sarcelles - Saint-Brice",,48.994895,2.367914,,,1,
StopArea:DUA8727639,"Gare d'Écouen - Ézanville",,49.023058,2.363315,,,1,
StopArea:DUA8727643,"DOMONT",,49.032563,2.338058,,,1,
StopArea:DUA8727648,"Gare de Bouffémont - Moisselles",,49.045247,2.322556,,,1,
StopArea:DUA8727649,"Gare de Montsoult - Maffliers",,49.066225,2.322086,,,1,
StopArea:DUA8727202,"VILLAINES",,49.078911,2.352215,,,1,
StopArea:DUA8727655,"Gare de Belloy - Saint-Martin",,49.097836,2.361848,,,1,
StopArea:DUA8727656,"VIARMES",,49.116747,2.368246,,,1,
StopArea:DUA8727203,"SEUGY",,49.119223,2.399487,,,1,
StopArea:DUA8727657,"LUZARCHES",,49.117575,2.421397,,,1,
StopArea:DUA8727650,"Gare de Presles - Courcelles",,49.113416,2.287732,,,1,
StopArea:DUA8727675,"Gare de Nointel - Mours",,49.132583,2.280799,,,1,
StopArea:DUA8727654,"Gare d'Auvers-sur-Oise",,49.070685,2.17464,,,1,
StopArea:DUA8727645,"Gare de Bruyères-sur-Oise",,49.155108,2.325802,,,1,
StopArea:DUA8727644,"Gare de Boran-sur-Oise",,49.167299,2.362522,,,1,
StopArea:DUA8727641,"Gare de Précy-sur-Oise",,49.203235,2.376361,,,1,
StopArea:DUA8727640,"Gare de Saint-Leu-d'Esserent",,49.214166,2.418158,,,1,
StopArea:DUA8727600,"CREIL",,49.264102,2.469071,,,1,
StopArea:DUA8727614,"Gare d'Épluches",,49.055617,2.122736,,,1,
StopArea:DUA8727615,"PONT PETIT",,49.060583,2.130861,,,1,
StopArea:DUA8727616,"CHAPONVAL",,49.069634,2.142796,,,1,
StopArea:DUA8775833,"GARE DE NOISY LE GRAND MONT D EST",,48.840813,2.552802,,,1,
StopArea:DUA8711379,"VILLIERS SUR MARNE PLESSIS TREVISE",,48.823418,2.542841,,,1,
StopArea:DUA8711380,"LES YVRIS NOISY LE GRAND",,48.823191,2.579795,,,1,
StopArea:DUA8711604,"EMERAINVILLE PONTAULT COMBAULT",,48.806004,2.617719,,,1,
StopArea:DUA8711371,"VAL DE FONTENAY",,48.853801,2.488185,,,1,
StopArea:DUA8711370,"ROSNY SOUS BOIS",,48.870737,2.485591,,,1,
StopArea:DUA8711369,"ROSNY BOIS PERRIER",,48.882759,2.48057,,,1,
