from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:DUA8775859,StopPoint:DUA8728189,2,840
StopPoint:DUA8754700,StopPoint:DUA8754702,2,252
StopPoint:DUA8754702,StopPoint:DUA8754700,2,252
StopPoint:DUA8759118,StopPoint:DUA8711300,2,358
StopPoint:DUA8759118,StopPoint:DUA8759492,2,946
StopPoint:DUA8759118,StopPoint:DUA8727100,2,778
StopPoint:DUA8759118,StopPoint:DUA8727102,2,778
StopPoint:DUA8759118,StopPoint:DUA8727103,2,778
StopPoint:DUA8711300,StopPoint:DUA8759118,2,350
StopPoint:DUA8711300,StopPoint:DUA8759492,2,1008
StopPoint:DUA8711300,StopPoint:DUA8727100,2,840
StopPoint:DUA8711300,StopPoint:DUA8727102,2,840
StopPoint:DUA8711300,StopPoint:DUA8727103,2,840
StopPoint:DUA8739100,StopPoint:DUA8759115,2,358
StopPoint:DUA8759115,StopPoint:DUA8739100,2,337
StopPoint:DUA8759492,StopPoint:DUA8759118,2,946
StopPoint:DUA8759492,StopPoint:DUA8711300,2,1008
StopPoint:DUA8759492,StopPoint:DUA8727100,2,336
StopPoint:DUA8759492,StopPoint:DUA8727102,2,336
StopPoint:DUA8759492,StopPoint:DUA8727103,2,336
StopPoint:DUA8759492,StopPoint:DUA8728187,2,403
StopPoint:DUA8727100,StopPoint:DUA8759118,2,778
StopPoint:DUA8727100,StopPoint:DUA8711300,2,840
StopPoint:DUA8727100,StopPoint:DUA8759492,2,338
StopPoint:DUA8727100,StopPoint:DUA8727102,2,168
StopPoint:DUA8727100,StopPoint:DUA8727103,2,168
StopPoint:DUA8727100,StopPoint:DUA8728187,2,273
StopPoint:DUA8727102,StopPoint:DUA8759118,2,778
StopPoint:DUA8727102,StopPoint:DUA8711300,2,840
StopPoint:DUA8727102,StopPoint:DUA8759492,2,338
StopPoint:DUA8727102,StopPoint:DUA8727100,2,183
StopPoint:DUA8727102,StopPoint:DUA8727103,2,168
StopPoint:DUA8727102,StopPoint:DUA8728187,2,258
StopPoint:DUA8727103,StopPoint:DUA8759118,2,778
StopPoint:DUA8727103,StopPoint:DUA8711300,2,840
StopPoint:DUA8727103,StopPoint:DUA8759492,2,338
StopPoint:DUA8727103,StopPoint:DUA8727100,2,183
StopPoint:DUA8727103,StopPoint:DUA8727102,2,178
StopPoint:DUA8727103,StopPoint:DUA8728187,2,250
StopPoint:DUA8738400,StopPoint:DUA8728189,2,652
StopPoint:DUA8728189,StopPoint:DUA8775859,2,840
StopPoint:DUA8728189,StopPoint:DUA8738400,2,571
StopPoint:DUA8728187,StopPoint:DUA8759492,2,353
StopPoint:DUA8728187,StopPoint:DUA8727100,2,222
StopPoint:DUA8728187,StopPoint:DUA8727102,2,222
StopPoint:DUA8728187,StopPoint:DUA8727103,2,222
StopPoint:DUA8768600,StopPoint:DUA8768603,2,198
StopPoint:DUA8768600,StopPoint:DUA8775858,2,182
StopPoint:DUA8768603,StopPoint:DUA8768600,2,191
StopPoint:DUA8768603,StopPoint:DUA8775858,2,206
StopPoint:DUA8775858,StopPoint:DUA8768600,2,177
StopPoint:DUA8775858,StopPoint:DUA8768603,2,201
StopPoint:DUA8778543,StopPoint:DUA8754731,2,168
StopPoint:DUA8754731,StopPoint:DUA8778543,2,168
StopPoint:DUA8749577,StopPoint:DUA8741455,2,624
StopPoint:DUA8741455,StopPoint:DUA8749577,2,633
StopPoint:DUA8741071,StopPoint:DUA8741069,2,336
StopPoint:DUA8741069,StopPoint:DUA8741071,2,336
StopPoint:DUA8739384,StopPoint:DUA8759185,2,336
StopPoint:DUA8759185,StopPoint:DUA8739384,2,336
StopPoint:DUA8739322,StopPoint:DUA8759183,2,626
StopPoint:DUA8759183,StopPoint:DUA8739322,2,599
StopPoint:DUA8741453,StopPoint:DUA8741449,2,637
StopPoint:DUA8739383,StopPoint:DUA8759186,2,425
StopPoint:DUA8759186,StopPoint:DUA8739383,2,425
StopPoint:DUA8741449,StopPoint:DUA8741453,2,624
StopPoint:DUA8739325,StopPoint:DUA8759187,2,336
StopPoint:DUA8759187,StopPoint:DUA8739325,2,336
StopPoint:DUA8739315,StopPoint:DUA8759182,2,336
StopPoint:DUA8759182,StopPoint:DUA8739315,2,336
StopPoint:DUA8739316,StopPoint:DUA8759180,2,336
StopPoint:DUA8759180,StopPoint:DUA8739316,2,336
StopPoint:DUA8739300,StopPoint:DUA8759181,2,336
StopPoint:DUA8759181,StopPoint:DUA8739300,2,336
StopPoint:DUA8739321,StopPoint:DUA8759179,2,564
StopPoint:DUA8759179,StopPoint:DUA8739321,2,564
StopPoint:DUA8739357,StopPoint:DUA8775879,2,460
StopPoint:DUA8775879,StopPoint:DUA8739357,2,536
StopPoint:DUA8775878,StopPoint:DUA8738328,2,514
StopPoint:DUA8738328,StopPoint:DUA8775878,2,562
StopPoint:DUA8738221,StopPoint:DUA8775801,2,267
StopPoint:DUA8775801,StopPoint:DUA8738221,2,372
StopPoint:DUA8738631,StopPoint:DUA8775803,2,168
StopPoint:DUA8775803,StopPoint:DUA8738631,2,168
StopPoint:DUA8739312,StopPoint:DUA8759116,2,555
StopPoint:DUA8759116,StopPoint:DUA8739312,2,595
StopPoint:DUA8769735,StopPoint:DUA8727139,2,223
StopPoint:DUA8727139,StopPoint:DUA8769735,2,224
StopPoint:DUA8727114,StopPoint:DUA8769729,2,268
StopPoint:DUA8769729,StopPoint:DUA8727114,2,235
StopPoint:DUA8727112,StopPoint:DUA8769730,2,228
StopPoint:DUA8769730,StopPoint:DUA8727112,2,168
StopPoint:DUA8769732,StopPoint:DUA8727116,2,874
StopPoint:DUA8727116,StopPoint:DUA8769732,2,838
StopPoint:DUA8711371,StopPoint:DUA8775830,2,310
StopPoint:DUA8775830,StopPoint:DUA8711371,2,307
StopPoint:DUA8727605,StopPoint:DUA8753413,2,248
StopPoint:DUA8753413,StopPoint:DUA8727605,2,227
